,regnumber,regdate,shortcontent,formnamesed,actkind,acttheme
645,485,21.09.2017,"Об информации Правительства Пермского края ""Поддержка инициатив граждан - приоритетное направление деятельности Правительства Пермского края""",Постановление №7446-17 от 2017-09-21,Постановление,08.06.   Бюджет субъекта
646,191-ПК,28.02.2018,О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае,Закон 10452-17 от 2017-12-25,Закон,08.06.   Бюджет субъекта
647,469-ПК,06.11.2019,Об утверждении дополнительных соглашений к соглашениям о предоставлении бюджету Пермского края из федерального бюджета бюджетных кредитов для частичного покрытия дефицита бюджета Пермского края,Закон 7542-19 от 2019-10-14,Закон,08.06.   Бюджет субъекта
648,477-ПК,13.12.2019,О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2020 год и на плановый период 2021 и 2022 годов,Закон 7210-19 от 2019-10-01,Закон,08.06.   Бюджет субъекта
649,604-ПК,02.02.2021,О внесении изменений в отдельные законы Пермского края,Закон 5068-20 от 2020-09-25,Закон,08.06.   Бюджет субъекта
650,467-ПК,25.10.2019,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов""",Закон 7776-19 от 2019-10-21,Закон,08.06.   Бюджет субъекта
651,506-ПК,02.03.2020,"О внесении изменений в Закон Пермского края ""О предоставлении государственных гарантий Пермского края""",Подготовка аннотации - Сидельникова Светлана Леонидовна - 679992,Закон,08.06.   Бюджет субъекта
652,1784,27.08.2020,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2021 год и на плановый период 2022 и 2023 годов,Постановление №3934-20 от 2020-08-14,Постановление,08.06.   Бюджет субъекта
653,1796,16.04.2015,О протесте прокурора Пермского края,Постановление №3128-15 от 2015-04-13,Постановление,08.06.   Бюджет субъекта
654,437-ПК,06.09.2019,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2019 год и на плановый период 2020 и 2021 годов""",Закон 5358-19 от 2019-07-23,Закон,08.06.   Бюджет субъекта
655,71-ПК,02.03.2017,"О внесении изменений в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 286-17 от 2017-01-13,Закон,08.06.   Бюджет субъекта
656,270-ПК,08.10.2018,"О внесении изменений в Закон Пермского края ""О методиках распределения межбюджетных трансфертов в Пермском крае""",Закон 5391-18 от 2018-07-20,Закон,08.06.   Бюджет субъекта
657,273-ПК,08.10.2018,"Об утверждении дополнительного соглашения к соглашению о предоставлении бюджету Пермского края из федерального бюджета бюджетного кредита для строительства, реконструкции, капитального ремонта, ремонта и содержания автомобильных дорог общего пользования (за исключением дорог федерального значения)",Закон 5628-18 от 2018-08-02,Закон,08.06.   Бюджет субъекта
658,483-ПК,28.11.2019,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов""",Закон 8662-19 от 2019-11-22,Закон,08.06.   Бюджет субъекта
659,626,25.01.2018,Об итогах проведения выездного заседания комитета Законодательного Собрания Пермского края по бюджету в Чернушинском муниципальном районе,Постановление №9874-17 от 2017-12-05,Постановление,08.06.   Бюджет субъекта
660,,,О законодательной инициативе,Постановление №2471-18 от 2018-04-04,Постановление,08.06.   Бюджет субъекта
661,296-ПК,01.11.2018,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2018 год и на плановый период 2019 и 2020 годов""",Закон 7604-18 от 2018-10-10,Закон,08.06.   Бюджет субъекта
662,523,26.10.2017,О согласовании назначения министра финансов Пермского края,Постановление №7697-17 от 2017-10-02,Постановление,08.06.   Бюджет субъекта
663,929,20.09.2018,Об отчете об исполнении бюджета Пермского края за полугодие 2018 года,Постановление №5632-18 от 2018-08-01,Постановление,08.06.   Бюджет субъекта
664,930,20.09.2018,Об отчете об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за полугодие 2018 года,Постановление №5633-18 от 2018-08-01,Постановление,08.06.   Бюджет субъекта
665,14-ПК,10.11.2016,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2016 год и на плановый период 2017 и 2018 годов""",Закон 7776-16 от 2016-10-13,Закон,08.06.   Бюджет субъекта
666,46-ПК,23.12.2016,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2016 год и на плановый период 2017 и 2018 годов""",Закон 9470-16 от 2016-11-30,Закон,08.06.   Бюджет субъекта
667,48-ПК,23.12.2016,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2016 год и на плановый период 2017 и 2018 годов""",Закон 9830-16 от 2016-12-09,Закон,08.06.   Бюджет субъекта
668,124-ПК,29.08.2017,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2017 год и на плановый период 2018 и 2019 годов""",Закон 5615-17 от 2017-07-17,Закон,08.06.   Бюджет субъекта
669,948,20.09.2018,"Об информации Правительства Пермского края ""Об освоении  средств дорожного фонда Пермского края, в том числе в части предоставления субсидий бюджетам муниципальных образований Пермского края на проектирование и строительство (реконструкцию), капитальный ремонт и ремонт автомобильных дорог общего пользования  местного значения""",Постановление №7000-18 от 2018-09-19,Постановление,08.06.   Бюджет субъекта
670,1033,29.11.2018,Об итогах проведения выездного заседания комитета Законодательного Собрания Пермского края по бюджету в Пермском муниципальном районе,Постановление №7971-18 от 2018-10-18,Постановление,08.06.   Бюджет субъекта
671,679,15.02.2018,Об утверждении годовых и полугодовых форм представления отчетов об исполнении бюджета Пермского края,Постановление №88-18 от 2018-01-10,Постановление,08.06.   Бюджет субъекта
672,1146,21.02.2019,Об утверждении годовых и полугодовых форм представления отчетов об исполнении бюджета Пермского края,Постановление №244-19 от 2019-01-15,Постановление,08.06.   Бюджет субъекта
673,800,24.05.2018,О законодательной инициативе,Постановление №2884-18 от 2018-04-16,Постановление,08.06.   Бюджет субъекта
674,844,21.06.2018,Об итогах проведения выездного заседания комитета Законодательного Собрания Пермского края по бюджету в Гремячинском городском округе,Постановление №3971-18 от 2018-05-23,Постановление,08.06.   Бюджет субъекта
675,802,24.05.2018,О законодательной инициативе,Постановление №2886-18 от 2018-04-16,Постановление,08.06.   Бюджет субъекта
676,902,16.08.2018,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2019 год и на плановый период 2020 и 2021 годов,Постановление №5337-18 от 2018-07-16,Постановление,08.06.   Бюджет субъекта
677,353-ПК,07.03.2019,Об утверждении дополнительных соглашений к Соглашениям о предоставлении бюджету Пермского края из федерального бюджета бюджетных кредитов для частичного покрытия дефицита бюджета Пермского края,Закон 694-19 от 2019-01-31,Закон,08.06.   Бюджет субъекта
678,352-ПК,23.02.2019,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов""",Закон 858-19 от 2019-02-06,Закон,08.06.   Бюджет субъекта
679,376-ПК,21.03.2019,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2019 год и на плановый период 2020 и 2021 годов""",Закон 1437-19 от 2019-02-25,Закон,08.06.   Бюджет субъекта
680,402-ПК,30.05.2019,Об утверждении отчета об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за 2018 год,Закон 2250-19 от 2019-03-21,Закон,08.06.   Бюджет субъекта
681,528-ПК,22.04.2020,"О внесении изменений в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 1486-20 от 2020-03-05,Закон,08.06.   Бюджет субъекта
682,542-ПК,22.06.2020,Об утверждении отчета об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за 2019 год,Закон 1937-20 от 2020-03-20,Закон,08.06.   Бюджет субъекта
683,577-ПК,05.11.2020,Об утверждении отчета об исполнении бюджета Пермского края за 2019 год,Закон 2163-20 от 2020-03-30,Закон,08.06.   Бюджет субъекта
684,476-ПК,28.11.2019,О бюджете Пермского края на 2020 год и на плановый период 2021 и 2022 годов,Закон 7212-19 от 2019-10-01,Закон,08.06.   Бюджет субъекта
685,578-ПК,05.11.2020,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2020 год и на плановый период 2021 и 2022 годов""",Закон 4246-20 от 2020-08-26,Закон,08.06.   Бюджет субъекта
686,581-ПК,07.12.2020,"О внесении изменения в Закон Пермского края ""О приостановлении действия отдельных положений законодательных актов Пермского края и Пермской области""",Закон 5135-20 от 2020-10-01,Закон,08.06.   Бюджет субъекта
687,1338,20.06.2019,"О проекте закона Пермского края ""О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов"" (второе чтение)",Постановление №4727-19 от 2019-06-19,Постановление,08.06.   Бюджет субъекта
688,1408,22.08.2019,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2020 год и на плановый период 2021 и 2022 годов,Постановление №5483-19 от 2019-07-22,Постановление,08.06.   Бюджет субъекта
689,1493,24.10.2019,О внесении изменений в отдельные постановления Законодательного Собрания Пермского края,Постановление №7410-19 от 2019-10-09,Постановление,08.06.   Бюджет субъекта
690,893,15.08.2013,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2014 год и на плановый период 2015 и 2016 годов,Постановление №4709-13 от 2013-07-18,Постановление,08.06.   Бюджет субъекта
691,592-ПК,07.12.2020,Об утверждении дополнительного соглашения к соглашениям о предоставлении бюджету Пермского края из федерального бюджета бюджетных кредитов для частичного покрытия дефицита бюджета Пермского края,Закон 5699-20 от 2020-10-27,Закон,08.06.   Бюджет субъекта
692,1604,23.01.2020,Об итогах проведения выездного заседания комитета Законодательного Собрания Пермского края по бюджету в Чернушинском городском округе,Постановление №8851-19 от 2019-11-27,Постановление,08.06.   Бюджет субъекта
693,1635,20.02.2020,Об утверждении годовых и полугодовых форм представления отчетов об исполнении бюджета Пермского края,Постановление №430-20 от 2020-01-20,Постановление,08.06.   Бюджет субъекта
694,111-ПК,04.07.2017,Об утверждении отчета об исполнении бюджета Пермского края за 2016 год,Закон 3027-17 от 2017-04-14,Закон,08.06.   Бюджет субъекта
695,94-ПК,26.04.2017,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2017 год и на плановый период 2018 и 2019 годов""",Закон 2090-17 от 2017-03-20,Закон,08.06.   Бюджет субъекта
696,125-ПК,04.10.2017,"О внесении изменений в Закон Пермского края ""О методиках распределения межбюджетных трансфертов в Пермском крае""",Закон 5449-17 от 2017-07-07,Закон,08.06.   Бюджет субъекта
697,143-ПК,10.11.2017,"О внесении изменений в Закон Пермского края ""О реализации проектов инициативного бюджетирования в Пермском крае""",Закон 6154-17 от 2017-08-08,Закон,08.06.   Бюджет субъекта
698,526-ПК,25.03.2020,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2020 год и на плановый период 2021 и 2022 годов""",Закон 1096-20 от 2020-02-17,Закон,08.06.   Бюджет субъекта
699,1030,29.11.2018,"О проекте закона Пермского края ""О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов"" (второе чтение)",Постановление №9236-18 от 2018-11-28,Постановление,08.06.   Бюджет субъекта
700,255-ПК,08.12.2013,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2013 год и на плановый период 2014 и 2015 годов""",Закон 5236-13 от 2013-08-19,Закон,08.06.   Бюджет субъекта
701,280-ПК,24.12.2013,О признании утратившими силу отдельных законов Пермского края,Закон 6405-13 от 2013-10-08,Закон,08.06.   Бюджет субъекта
702,676-ПК,24.06.2021,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2021 год и на плановый период 2022 и 2023 годов""",Закон 3757-21 от 2021-06-02,Закон,08.06.   Бюджет субъекта
703,688-ПК,06.09.2021,О внесении изменений в отдельные законы Пермского края,Закон 4688-21 от 2021-07-15,Закон,08.06.   Бюджет субъекта
704,324-ПК,07.05.2014,"О внесении изменений в Закон Пермского края ""О порядке использования средств бюджета Пермского края для осуществления отдельных полномочий Российской Федерации в области лесных отношений, переданных органам государственной власти Пермского края""",Закон 645-14 от 2014-02-04,Закон,08.06.   Бюджет субъекта
705,690-ПК,14.09.2021,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2021 год и на плановый период 2022 и 2023 годов""",Закон 4854-21 от 2021-07-27,Закон,08.06.   Бюджет субъекта
706,951,25.10.2013,Об отчете об исполнении бюджета Пермского края за полугодие 2013 года,Постановление №4774-13 от 2013-07-25,Постановление,08.06.   Бюджет субъекта
707,952,25.10.2013,Об отчете об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за полугодие 2013 года,Постановление №4775-13 от 2013-07-25,Постановление,08.06.   Бюджет субъекта
708,686-ПК,06.09.2021,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2021 год и на плановый период 2022 и 2023 годов""",Закон 4926-21 от 2021-07-30,Закон,08.06.   Бюджет субъекта
709,687-ПК,06.09.2021,"О внесении изменений в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Подготовка аннотации - Зырянова Светлана Александровна - 790434,Закон,08.06.   Бюджет субъекта
710,1168,20.02.2014,"Об утверждении отчета Избирательной комиссии Пермского края о расходовании средств, выделенных на подготовку и проведение дополнительных выборов депутата Законодательного Собрания Пермского края второго созыва по одномандатному избирательному округу № 13",Постановление №8454-13 от 2013-12-13,Постановление,08.06.   Бюджет субъекта
711,344-ПК,25.06.2014,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2014 год  на плановый период 2015 и 2016 годов""",Закон 2680-14 от 2014-04-22,Закон,08.06.   Бюджет субъекта
712,1216,20.03.2014,Об утверждении годовых и полугодовых форм представления отчетов об исполнении бюджета Пермского края,Постановление №719-14 от 2014-02-07,Постановление,08.06.   Бюджет субъекта
713,371-ПК,07.10.2014,"О внесении изменений в Закон Пермского края ""О методиках распределения межбюджетных трансфертов в Пермском крае""",Закон 4658-14 от 2014-07-08,Закон,08.06.   Бюджет субъекта
714,355-ПК,07.07.2014,Об утверждении отчета об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за 2013 год,Закон 2524-14 от 2014-04-15,Закон,08.06.   Бюджет субъекта
715,892,15.08.2013,О внесении изменений в постановление Законодательного Собрания Пермского края от 20.09 2012 № 395,Постановление №4710-13 от 2013-07-18,Постановление,08.06.   Бюджет субъекта
716,1649,22.01.2015,О заслушивании информации председателя Правительства Пермского края,Постановление №465-15 от 2015-01-22,Постановление,08.06.   Бюджет субъекта
717,1691,19.02.2015,О протесте исполняющего обязанности прокурора Пермского края,Постановление №1137-15 от 2015-02-16,Постановление,08.06.   Бюджет субъекта
718,2168,21.01.2016,"О проведении заседания круглого стола ""О реализации проектов инициативного бюджетирования в Пермском крае""",Постановление №330-16 от 2016-01-18,Постановление,08.06.   Бюджет субъекта
719,47-ПК,23.12.2016,"О внесении изменений в Закон Пермского края ""О предоставлении субсидий бюджетам муниципальных образований Пермского края из бюджета Пермского края""",Закон 9699-16 от 2016-12-07,Закон,08.06.   Бюджет субъекта
720,115-ПК,04.07.2017,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2017 год и на плановый период 2018 и 2019 годов""",Закон 3970-17 от 2017-05-19,Закон,08.06.   Бюджет субъекта
721,678,15.02.2018,"Об утверждении отчета о поступлении и расходовании средств, выделенных избирательной комиссии Пермского края из бюджета Пермского края на подготовку и проведение выборов губернатора Пермского края",Постановление №10252-17 от 2017-12-15,Постановление,08.06.   Бюджет субъекта
722,370-ПК,04.10.2014,"О внесении изменений в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 4743-14 от 2014-07-11,Закон,08.06.   Бюджет субъекта
723,337-ПК,07.07.2014,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2014 год и на плановый период 2015 и 2016 годов""",Закон 2781-14 от 2014-04-25,Закон,08.06.   Бюджет субъекта
724,353-ПК,30.06.2014,Об утверждении отчета об исполнении бюджета Пермского края за 2013 год,Закон 2552-14 от 2014-04-15,Закон,08.06.   Бюджет субъекта
725,303-ПК,29.11.2018,О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов,Закон 7313-18 от 2018-10-01,Закон,08.06.   Бюджет субъекта
726,500-ПК,09.07.2015,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2015 год и на плановый период 2016 и 2017 годов""",Закон 2993-15 от 2015-04-08,Закон,08.06.   Бюджет субъекта
727,1565,11.12.2014,"О проекте закона Пермского края ""О бюджете Пермского края на 2015 год и на плановый период 2016 и 2017 годов"" (второе чтение)",Постановление №9142-14 от 2014-12-10,Постановление,08.06.   Бюджет субъекта
728,384-ПК,06.11.2014,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2014 год и на плановый период 2015 и 2016 годов""",Закон 5616-14 от 2014-08-18,Закон,08.06.   Бюджет субъекта
729,114-ПК,03.07.2017,"О внесении изменения в Закон Пермского края ""О предоставлении субсидий бюджетам муниципальных образований Пермского края из бюджета Пермского края""",Закон 3702-17 от 2017-05-10,Закон,08.06.   Бюджет субъекта
730,465,21.09.2017,Об отчете об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за полугодие 2017 года,Постановление №5942-17 от 2017-08-01,Постановление,08.06.   Бюджет субъекта
731,450-ПК,23.09.2019,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2019 год и на плановый период 2020 и 2021 годов""",Закон 6146-19 от 2019-08-26,Закон,08.06.   Бюджет субъекта
732,540-ПК,12.10.2015,"О внесении изменений в Закон Пермского края ""О методиках распределения межбюджетных трансфертов в Пермском крае""",Закон 5645-15 от 2015-07-06,Закон,08.06.   Бюджет субъекта
733,1345,19.06.2014,"О проекте закона Пермского края ""Об утверждении отчета об исполнении бюджета Пермского края за 2013 год"" (второе чтение)",Постановление №4308-14 от 2014-06-19,Постановление,08.06.   Бюджет субъекта
734,414-ПК,22.12.2014,О бюджете Пермского края на 2015 год и на плановый период 2016 и 2017 год,Закон 7020-14 от 2014-09-30,Закон,08.06.   Бюджет субъекта
735,72-ПК,01.03.2017,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2017 год и на плановый период 2018 и 2019 годов""",Закон 773-17 от 2017-02-02,Закон,08.06.   Бюджет субъекта
736,580-ПК,21.12.2015,О бюджете Пермского края на 2016 год и на плановый период 2017 и 2018 годов,Закон 7947-15 от 2015-10-01,Закон,08.06.   Бюджет субъекта
737,152-ПК,07.12.2017,О бюджете Пермского края на 2018 год и на плановый период 2019 и 2020 годов,Закон 7698-17 от 2017-10-01,Закон,08.06.   Бюджет субъекта
738,19-ПК,02.12.2016,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2016 год и на плановый период 2017 и 2018 годов""",Закон 7305-16 от 2016-09-29,Закон,08.06.   Бюджет субъекта
739,35-ПК,29.12.2016,О приостановлении действия отдельных положений законодательных актов Пермского края и Пермской области,Закон 7027-16 от 2016-09-19,Закон,08.06.   Бюджет субъекта
740,272-ПК,01.10.2018,"О внесении изменений в Закон Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""",Закон 5631-18 от 2018-08-01,Закон,08.06.   Бюджет субъекта
741,400-ПК,08.12.2014,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2014 год и на плановый период 2015 и 2016 годов""",Закон 6789-14 от 2014-09-24,Закон,08.06.   Бюджет субъекта
742,499-ПК,03.07.2015,"О внесении изменений в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 3189-15 от 2015-04-13,Закон,08.06.   Бюджет субъекта
743,515-ПК,09.07.2015,Об утверждении отчета об исполнении бюджета Пермского края за 2014 год,Закон 3269-15 от 2015-04-15,Закон,08.06.   Бюджет субъекта
744,415-ПК,25.12.2014,О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2015 год и на плановый период 2016 и 2017 годов,Закон 7019-14 от 2014-09-30,Закон,08.06.   Бюджет субъекта
745,433-ПК,18.12.2014,"О внесении изменений в Закон Пермского края ""О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2014 год и на плановый период 2015 и 2016 годов""",Закон 8850-14 от 2014-12-02,Закон,08.06.   Бюджет субъекта
746,,,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2015 год и на плановый период 2016 и 2017 годов""",Закон 725-15 от 2015-02-02,Закон,08.06.   Бюджет субъекта
747,413-ПК,01.12.2014,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2014 год и на плановый период 2015 и 2016 годов""",Закон 8305-14 от 2014-11-12,Закон,08.06.   Бюджет субъекта
748,1409,18.09.2014,Об отчете об исполнении бюджета Пермского края за полугодие 2014 года,Постановление №5095-14 от 2014-08-01,Постановление,08.06.   Бюджет субъекта
749,1371,21.08.2014,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2015 год и плановый период 2016 и 2017 годов,Постановление №4884-14 от 2014-07-23,Постановление,08.06.   Бюджет субъекта
750,1412,18.09.2014,Об отчете об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за полугодие 2014 года,Постановление №5094-14 от 2014-08-01,Постановление,08.06.   Бюджет субъекта
751,1316,19.06.2014,"О проекте закона Пермского края ""О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2014 год и на плановый период 2015 и 2016 годов"" (второе чтение)",Постановление №4309-14 от 2014-06-19,Постановление,08.06.   Бюджет субъекта
752,226-ПК,02.06.2018,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2018 год и на плановый период 2019 и 2020 годов""",Закон 2067-18 от 2018-03-19,Закон,08.06.   Бюджет субъекта
753,2459,25.08.2016,Об отчете об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за первое полугодие 2016 года,Постановление №5984-16 от 2016-07-29,Постановление,08.06.   Бюджет субъекта
754,2174,26.08.2021,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2022 год и на плановый период 2023 и 2024 годов,Постановление №5221-21 от 2021-08-17,Постановление,08.06.   Бюджет субъекта
755,517-ПК,03.07.2015,Об утверждении дополнительного соглашения к Соглашению о предоставлении бюджету Пермского края из федерального бюджета бюджетного кредита на реализацию мероприятий по поддержке монопрофильных муниципальных образований,Закон 4078-15 от 2015-05-13,Закон,08.06.   Бюджет субъекта
756,518-ПК,03.07.2015,"Об утверждении дополнительного соглашения к Соглашению о предоставлении бюджету Пермского края из федерального бюджета бюджетного кредита для строительства, реконструкции, капитального ремонта, ремонта и содержания автомобильных дорог общего пользования (за исключением дорог федерального значения)",Закон 3839-15 от 2015-05-08,Закон,08.06.   Бюджет субъекта
757,,,"О проекте закона Пермского края ""О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2016 год и на плановый период 2017 и 2018 годов"" (второе чтение)",Постановление №5187-16 от 2016-06-16,Постановление,08.06.   Бюджет субъекта
758,1659,19.02.2015,"О внесении изменения в постановление Законодательного Собрания Пермского края от 22.01.2015 № 1649 ""О заслушивании информации председателя Правительства Пермского края""",Постановление №1250-15 от 2015-02-18,Постановление,08.06.   Бюджет субъекта
759,555-ПК,29.10.2015,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2015 год и на плановый период 2016 и 2017 годов""",Закон 6722-15 от 2015-08-24,Закон,08.06.   Бюджет субъекта
760,539-ПК,12.10.2015,"О внесении изменений в Закон Пермского края ""О бюджетном процессе в Пермском крае""",Закон 5643-15 от 2015-07-06,Закон,08.06.   Бюджет субъекта
761,1712,19.03.2015,Об утверждении годовых и полугодовых форм представления отчетов об исполнении бюджета Пермского края,Постановление №1023-15 от 2015-02-10,Постановление,08.06.   Бюджет субъекта
762,582-ПК,25.12.2015,О приостановлении действия отдельных положений законодательных актов Пермского края и Пермской области и о внесении изменений в Закон Пермского края,Закон 7530-15 от 2015-09-17,Закон,08.06.   Бюджет субъекта
763,581-ПК,21.12.2015,О бюджете Территориального фонда обязательного медицинского страхования Пермского края на 2016 год и на плановый период 2017 и 2018 годов,Закон 7904-15 от 2015-10-01,Закон,08.06.   Бюджет субъекта
764,1853,21.05.2015,О протесте прокурора Пермского края,Постановление №3690-15 от 2015-04-30,Постановление,08.06.   Бюджет субъекта
765,145,15.12.2016,"О проекте закона Пермского края ""О бюджете Пермского края на 2017 год и на плановый период 2018 и 2019 годов"" (второе чтение)",Постановление №10025-16 от 2016-12-14,Постановление,08.06.   Бюджет субъекта
766,629-ПК,31.03.2016,"О внесении изменений в Закон Пермского края ""О бюджете Пермского края на 2016 год и на плановый период 2017 и 2018 годов""",Закон 328-16 от 2016-01-15,Закон,08.06.   Бюджет субъекта
767,266,16.03.2017,"Об утверждении отчета о поступлении и расходовании средств регионального бюджета, выделенных Избирательной комиссии Пермского края на подготовку и проведение выборов депутатов Законодательного Собрания Пермского края третьего созыва",Постановление №10230-16 от 2016-12-20,Постановление,08.06.   Бюджет субъекта
768,1985,24.09.2015,Об отчете об исполнении бюджета Территориального фонда обязательного медицинского страхования Пермского края за полугодие 2015 года,Постановление №6219-15 от 2015-07-31,Постановление,08.06.   Бюджет субъекта
769,1938,27.08.2015,О бюджетной смете расходов на обеспечение деятельности Законодательного Собрания Пермского края на 2016 год и на плановый период 2017 и 2018 годов,Постановление №6153-15 от 2015-07-29,Постановление,08.06.   Бюджет субъекта
770,1983,24.09.2015,Об отчете об исполнении бюджета Пермского края за полугодие 2015 года,Постановление №6220-15 от 2015-07-31,Постановление,08.06.   Бюджет субъекта
771,221,16.02.2017,Об утверждении годовых и полугодовых форм представления отчетов об исполнении бюджета Пермского края,Постановление №578-17 от 2017-01-26,Постановление,08.06.   Бюджет субъекта
